class,cap-shape,cap-color,bruises?,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,habitat
e,f,w,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,u,t,b,p,w,p,w,o,p,k,d
e,x,n,t,c,b,u,t,b,g,g,p,w,o,p,n,d
e,x,e,t,c,b,w,t,b,g,w,p,w,o,p,n,d
e,x,n,t,c,b,w,t,b,p,g,p,w,o,p,n,d
e,f,w,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,n,t,c,b,p,t,b,p,w,p,w,o,p,k,d
e,x,g,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,g,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,f,w,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,p,t,b,w,p,p,w,o,p,k,d
p,f,n,t,c,n,k,e,e,w,w,p,w,o,p,n,u
e,x,e,t,c,b,p,t,b,p,g,p,w,o,p,k,d
e,f,w,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,f,g,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,w,t,b,g,p,p,w,o,p,n,d
e,f,g,t,c,b,p,t,b,p,w,p,w,o,p,k,d
e,x,n,t,c,b,w,t,b,g,w,p,w,o,p,k,d
e,f,e,t,c,b,n,t,b,w,p,p,w,o,p,k,d
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,e,t,c,b,w,t,b,w,g,p,w,o,p,n,d
e,x,n,t,c,b,p,t,b,w,p,p,w,o,p,k,d
e,x,g,t,c,b,u,t,b,w,w,p,w,o,p,k,d
e,x,n,t,c,b,n,t,b,p,w,p,w,o,p,n,d
e,x,y,t,w,n,w,t,b,w,w,p,w,o,p,n,d
e,x,e,t,c,b,w,t,b,g,g,p,w,o,p,n,d
p,f,w,t,c,n,w,e,e,w,w,p,w,o,p,n,g
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,e,t,c,b,u,t,b,g,g,p,w,o,p,n,d
e,x,n,t,c,b,w,t,b,p,p,p,w,o,p,k,d
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,g,t,c,b,w,t,b,p,w,p,w,o,p,n,d
e,x,g,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,e,t,c,b,w,t,b,p,g,p,w,o,p,n,d
e,x,n,t,c,b,u,t,b,p,w,p,w,o,p,n,d
e,x,w,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,x,n,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,w,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,n,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,f,e,t,c,b,n,t,b,p,g,p,w,o,p,n,d
e,f,w,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,f,g,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,e,t,c,b,w,t,b,g,g,p,w,o,p,n,d
e,x,e,t,c,b,p,t,b,p,w,p,w,o,p,n,d
e,x,g,t,c,b,u,t,b,w,w,p,w,o,p,n,d
e,x,e,t,c,b,p,t,b,w,g,p,w,o,p,k,d
e,f,n,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,w,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,w,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,e,t,c,b,u,t,b,g,p,p,w,o,p,n,d
e,x,n,t,c,b,u,t,b,g,g,p,w,o,p,n,d
e,f,n,t,c,b,w,t,b,g,p,p,w,o,p,k,d
e,f,w,t,w,n,p,t,b,w,w,p,w,o,p,n,d
e,f,w,f,w,b,k,t,e,w,w,p,w,o,e,k,g
p,f,w,t,c,n,n,e,e,w,w,p,w,o,p,k,g
e,f,g,t,c,b,n,t,b,g,g,p,w,o,p,k,d
e,x,n,t,c,b,w,t,b,w,g,p,w,o,p,n,d
e,x,w,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,n,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,n,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,g,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,n,t,c,b,w,t,b,g,g,p,w,o,p,n,d
e,x,n,t,c,b,u,t,b,p,p,p,w,o,p,n,d
e,f,g,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,f,n,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,g,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,f,g,t,c,b,n,t,b,p,w,p,w,o,p,k,d
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,f,w,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,g,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,f,n,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,x,n,t,c,b,w,t,b,w,p,p,w,o,p,n,d
e,f,g,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,f,w,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,e,t,c,b,p,t,b,g,w,p,w,o,p,k,d
e,x,g,t,c,b,u,t,b,g,g,p,w,o,p,k,d
e,x,e,t,c,b,n,t,b,g,p,p,w,o,p,k,d
e,x,g,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,f,g,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,f,y,t,c,b,p,e,r,w,w,p,w,o,p,n,g
p,f,w,t,c,n,w,e,e,w,w,p,w,o,p,k,u
e,f,n,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,f,n,t,c,b,p,t,b,g,w,p,w,o,p,k,d
e,x,e,t,c,b,u,t,b,g,w,p,w,o,p,k,d
e,f,g,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,n,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,g,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,e,t,c,b,w,t,b,g,w,p,w,o,p,n,d
e,f,n,t,c,b,w,t,b,g,w,p,w,o,p,k,d
e,x,n,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,x,n,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,f,w,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,f,g,f,w,b,p,t,e,w,w,p,w,o,e,k,g
p,f,w,t,c,n,w,e,e,w,w,p,w,o,p,k,u
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,x,n,t,c,b,w,t,b,g,w,p,w,o,p,n,d
e,f,g,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,f,w,t,w,n,n,t,b,w,w,p,w,o,p,u,d
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,g,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,e,t,c,b,p,t,b,w,p,p,w,o,p,k,d
e,f,n,t,c,b,n,t,b,g,p,p,w,o,p,k,d
e,x,n,t,c,b,n,t,b,w,w,p,w,o,p,k,d
e,f,w,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,f,n,f,w,b,n,t,e,w,w,p,w,o,e,n,g
p,f,w,t,c,n,k,e,e,w,w,p,w,o,p,n,u
e,f,n,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,w,t,b,g,g,p,w,o,p,n,d
e,x,g,t,c,b,n,t,b,g,g,p,w,o,p,n,d
e,x,g,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,w,t,b,p,p,p,w,o,p,n,d
e,x,e,t,c,b,u,t,b,p,p,p,w,o,p,n,d
e,x,g,t,c,b,p,t,b,g,p,p,w,o,p,k,d
e,x,g,t,c,b,u,t,b,p,w,p,w,o,p,n,d
e,x,n,t,c,b,p,t,b,p,g,p,w,o,p,k,d
p,x,w,t,c,n,p,e,e,w,w,p,w,o,p,k,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,n,t,c,b,w,t,b,p,p,p,w,o,p,n,d
e,x,g,t,c,b,p,t,b,w,g,p,w,o,p,n,d
p,f,n,t,c,n,w,e,e,w,w,p,w,o,p,n,g
e,x,g,t,c,b,u,t,b,w,g,p,w,o,p,k,d
e,x,g,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,e,t,c,b,u,t,b,g,g,p,w,o,p,k,d
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,f,w,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,f,n,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,x,e,t,c,b,w,t,b,w,g,p,w,o,p,n,d
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,f,n,t,c,b,n,t,b,p,p,p,w,o,p,n,d
e,f,w,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,f,n,f,w,b,h,t,e,w,w,p,w,o,e,n,g
p,x,n,t,c,n,w,e,e,w,w,p,w,o,p,k,u
e,x,n,t,c,b,p,t,b,w,w,p,w,o,p,k,d
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,n,g
p,f,w,t,c,n,n,e,e,w,w,p,w,o,p,n,g
e,x,n,t,c,b,n,t,b,p,g,p,w,o,p,n,d
e,x,g,t,c,b,u,t,b,w,p,p,w,o,p,n,d
e,f,n,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,e,t,c,b,p,t,b,g,g,p,w,o,p,k,d
e,f,w,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,x,w,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,u,t,b,p,g,p,w,o,p,n,d
e,x,g,t,c,b,n,t,b,g,w,p,w,o,p,k,d
e,x,g,f,w,b,n,t,e,w,w,p,w,o,e,n,g
p,f,w,t,c,n,n,e,e,w,w,p,w,o,p,n,u
e,x,e,t,c,b,w,t,b,w,p,p,w,o,p,n,d
p,f,n,t,c,n,n,e,e,w,w,p,w,o,p,k,u
p,f,n,t,c,n,w,e,e,w,w,p,w,o,p,n,g
e,x,g,t,c,b,p,t,b,p,p,p,w,o,p,n,d
e,f,n,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,p,t,b,g,w,p,w,o,p,n,d
e,x,n,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,n,t,c,b,w,t,b,p,g,p,w,o,p,n,d
e,f,n,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,f,n,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,n,t,c,b,w,t,b,g,g,p,w,o,p,n,d
e,x,e,t,c,b,u,t,b,g,w,p,w,o,p,n,d
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,n,t,c,b,w,t,b,g,g,p,w,o,p,k,d
p,f,w,t,c,n,w,e,e,w,w,p,w,o,p,n,u
e,x,y,t,c,b,n,e,r,w,w,p,w,o,p,n,g
p,f,n,t,c,n,p,e,e,w,w,p,w,o,p,k,g
e,f,w,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,f,n,f,w,b,n,t,e,w,w,p,w,o,e,k,g
p,f,n,t,c,n,w,e,e,w,w,p,w,o,p,n,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,n,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,e,t,c,b,u,t,b,g,w,p,w,o,p,k,d
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,w,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,f,g,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,f,w,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,f,y,t,w,n,n,t,b,w,w,p,w,o,p,n,d
e,f,w,t,w,n,n,t,b,w,w,p,w,o,p,n,d
e,f,n,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,n,t,c,b,u,t,b,w,w,p,w,o,p,n,d
e,x,g,t,c,b,n,t,b,g,p,p,w,o,p,k,d
e,x,n,t,c,b,u,t,b,w,g,p,w,o,p,n,d
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,g,t,c,b,u,t,b,w,w,p,w,o,p,n,d
e,x,n,t,c,b,n,t,b,p,p,p,w,o,p,k,d
e,x,g,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,x,n,t,c,b,n,t,b,w,p,p,w,o,p,n,d
e,x,n,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,x,e,t,c,b,u,t,b,w,p,p,w,o,p,k,d
e,f,n,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,e,t,c,b,w,t,b,p,p,p,w,o,p,k,d
e,f,n,t,c,b,p,t,b,g,g,p,w,o,p,k,d
e,x,g,t,c,b,u,t,b,p,g,p,w,o,p,k,d
e,x,g,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,g,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,g,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,e,t,c,b,w,t,b,w,p,p,w,o,p,k,d
e,f,g,t,c,b,w,t,b,p,w,p,w,o,p,n,d
e,f,n,t,c,b,n,t,b,p,w,p,w,o,p,k,d
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,f,n,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,w,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,y,t,c,b,p,e,r,w,w,p,w,o,p,n,p
e,x,e,t,c,b,u,t,b,w,p,p,w,o,p,n,d
e,x,n,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,n,t,c,b,p,t,b,w,g,p,w,o,p,k,d
e,f,g,t,c,b,n,t,b,w,p,p,w,o,p,n,d
e,x,w,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,x,n,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,f,w,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,f,n,t,c,b,u,t,b,g,w,p,w,o,p,n,d
e,f,w,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,g,t,c,b,u,t,b,g,p,p,w,o,p,n,d
e,x,n,t,c,b,p,t,b,w,g,p,w,o,p,n,d
e,x,w,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,f,g,f,w,b,n,t,e,w,w,p,w,o,e,n,g
p,f,n,t,c,n,n,e,e,w,w,p,w,o,p,n,g
e,f,g,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,n,t,c,b,n,t,b,p,w,p,w,o,p,n,d
e,x,w,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,n,t,c,b,u,t,b,p,w,p,w,o,p,k,d
e,x,e,t,c,b,p,t,b,p,p,p,w,o,p,n,d
p,f,n,t,c,n,n,e,e,w,w,p,w,o,p,k,u
e,f,g,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,n,t,b,w,g,p,w,o,p,k,d
e,f,g,t,c,b,n,t,b,g,p,p,w,o,p,k,d
e,x,g,t,c,b,n,t,b,w,g,p,w,o,p,k,d
e,x,g,t,c,b,w,t,b,p,p,p,w,o,p,n,d
e,x,n,t,c,b,u,t,b,p,g,p,w,o,p,k,d
p,x,w,t,c,n,p,e,e,w,w,p,w,o,p,n,u
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,x,n,t,c,b,n,t,b,p,p,p,w,o,p,n,d
e,f,n,t,c,b,w,t,b,w,w,p,w,o,p,n,d
e,x,g,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,e,t,c,b,u,t,b,w,p,p,w,o,p,n,d
e,x,g,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,f,w,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,n,t,c,b,n,t,b,g,g,p,w,o,p,n,d
e,f,n,t,c,b,u,t,b,w,p,p,w,o,p,n,d
e,f,g,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,f,g,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,f,n,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,p,t,b,g,w,p,w,o,p,k,d
e,x,e,t,c,b,n,t,b,p,g,p,w,o,p,n,d
p,f,n,t,c,n,p,e,e,w,w,p,w,o,p,k,u
e,x,g,t,c,b,p,t,b,g,g,p,w,o,p,k,d
e,x,w,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,g,t,c,b,p,t,b,g,w,p,w,o,p,k,d
e,f,g,t,c,b,n,t,b,w,w,p,w,o,p,n,d
e,x,g,f,w,b,p,t,e,w,w,p,w,o,e,k,g
p,x,w,t,c,n,n,e,e,w,w,p,w,o,p,k,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,p,t,b,w,g,p,w,o,p,k,d
e,f,g,t,c,b,p,t,b,w,w,p,w,o,p,n,d
e,x,n,t,c,b,w,t,b,p,w,p,w,o,p,n,d
e,x,e,t,c,b,p,t,b,p,g,p,w,o,p,n,d
e,f,n,t,c,b,w,t,b,g,p,p,w,o,p,n,d
e,x,e,t,c,b,u,t,b,g,g,p,w,o,p,k,d
e,f,n,t,c,b,p,t,b,w,w,p,w,o,p,n,d
e,x,e,t,c,b,u,t,b,p,p,p,w,o,p,k,d
e,x,g,t,c,b,w,t,b,p,w,p,w,o,p,k,d
e,f,g,t,c,b,p,t,b,w,w,p,w,o,p,k,d
e,x,e,t,c,b,w,t,b,g,w,p,w,o,p,k,d
e,x,e,t,c,b,u,t,b,g,p,p,w,o,p,n,d
p,x,w,t,c,n,w,e,e,w,w,p,w,o,p,n,g
e,x,e,t,c,b,n,t,b,p,g,p,w,o,p,n,d
e,x,g,t,c,b,p,t,b,w,w,p,w,o,p,k,d
e,x,n,t,c,b,p,t,b,g,g,p,w,o,p,n,d
e,x,e,t,c,b,w,t,b,w,g,p,w,o,p,k,d
e,x,g,t,c,b,n,t,b,g,p,p,w,o,p,k,d
e,x,g,t,c,b,n,t,b,p,p,p,w,o,p,k,d
e,x,g,t,c,b,u,t,b,g,w,p,w,o,p,k,d
e,x,e,t,c,b,p,t,b,w,w,p,w,o,p,n,d
e,f,e,t,c,b,n,t,b,w,w,p,w,o,p,n,d
e,f,n,t,c,b,p,t,b,g,p,p,w,o,p,k,d
e,x,n,t,c,b,u,t,b,w,p,p,w,o,p,k,d
e,f,g,t,c,b,w,t,b,p,p,p,w,o,p,k,d
e,x,e,t,c,b,u,t,b,p,g,p,w,o,p,n,d
e,x,g,t,c,b,p,t,b,g,g,p,w,o,p,n,d
e,x,g,t,c,b,n,t,b,w,p,p,w,o,p,k,d
p,x,g,f,c,b,p,e,b,b,b,p,w,o,l,h,g
p,f,w,t,c,n,p,e,e,w,w,p,w,o,p,k,g
e,x,e,t,c,b,n,t,b,p,w,p,w,o,p,k,d
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,n,t,c,b,u,t,b,g,w,p,w,o,p,n,d
e,f,n,t,c,b,n,t,b,g,w,p,w,o,p,n,d
e,x,n,t,c,b,w,t,b,p,g,p,w,o,p,n,d
e,x,g,t,c,b,u,t,b,p,w,p,w,o,p,n,d
e,x,g,t,c,b,w,t,b,g,w,p,w,o,p,n,d
e,x,e,t,c,b,u,t,b,w,p,p,w,o,p,k,d
e,x,n,t,c,b,n,t,b,w,g,p,w,o,p,n,d
e,x,g,t,c,b,w,t,b,p,g,p,w,o,p,k,d
e,x,e,t,c,b,w,t,b,p,w,p,w,o,p,k,d
e,x,e,t,c,b,u,t,b,w,g,p,w,o,p,k,d
e,x,n,t,c,b,p,t,b,p,w,p,w,o,p,n,d
e,x,e,t,c,b,n,t,b,w,w,p,w,o,p,k,d
e,f,n,t,c,b,p,t,b,w,g,p,w,o,p,n,d
e,f,n,t,c,b,n,t,b,p,w,p,w,o,p,k,d
e,x,n,t,c,b,n,t,b,g,g,p,w,o,p,n,d
p,f,n,t,c,n,n,e,e,w,w,p,w,o,p,n,u
e,f,e,t,c,b,u,t,b,w,w,p,w,o,p,n,d
p,x,w,t,c,n,w,e,e,w,w,p,w,o,p,k,g
e,x,e,t,c,b,u,t,b,g,p,p,w,o,p,k,d
e,f,n,t,c,b,p,t,b,g,g,p,w,o,p,k,d
e,x,n,t,c,b,u,t,b,p,g,p,w,o,p,n,d
e,f,e,t,c,b,p,t,b,w,g,p,w,o,p,n,d
e,x,e,t,c,b,n,t,b,w,g,p,w,o,p,n,d
e,x,g,t,c,b,p,t,b,g,p,p,w,o,p,n,d
e,x,n,t,c,b,n,t,b,p,g,p,w,o,p,n,d
e,f,n,t,c,b,u,t,b,w,g,p,w,o,p,n,d
e,f,n,t,c,b,w,t,b,p,p,p,w,o,p,n,d
e,x,e,t,c,b,u,t,b,w,g,p,w,o,p,k,d
e,x,n,t,c,b,u,t,b,w,g,p,w,o,p,k,d
e,x,e,t,c,b,p,t,b,g,w,p,w,o,p,n,d
e,f,g,t,c,b,p,t,b,g,p,p,w,o,p,k,d
e,x,n,t,c,b,u,t,b,w,p,p,w,o,p,k,d
e,f,n,t,c,b,u,t,b,w,p,p,w,o,p,n,d
e,x,e,t,c,b,n,t,b,w,p,p,w,o,p,n,d
e,x,e,t,c,b,w,t,b,p,w,p,w,o,p,n,d
e,x,g,t,c,b,p,t,b,p,g,p,w,o,p,k,d
e,x,g,t,c,b,n,t,b,g,g,p,w,o,p,k,d
e,x,e,t,c,b,p,t,b,p,g,p,w,o,p,n,d
e,x,g,t,c,b,p,t,b,g,p,p,w,o,p,k,d
e,x,g,t,c,b,n,t,b,g,g,p,w,o,p,n,d
e,f,g,t,c,b,n,t,b,g,g,p,w,o,p,n,d
e,x,g,t,c,b,n,t,b,g,w,p,w,o,p,k,d
e,x,e,t,c,b,n,t,b,w,g,p,w,o,p,n,d
e,f,n,t,c,b,p,t,b,w,p,p,w,o,p,k,d
e,f,n,t,c,b,w,t,b,g,w,p,w,o,p,k,d
e,x,e,t,c,b,p,t,b,w,w,p,w,o,p,n,d
p,x,g,f,c,b,p,e,b,n,p,p,w,o,l,h,d
e,x,g,t,c,b,u,t,b,p,w,p,w,o,p,k,d
e,x,e,t,c,b,w,t,b,p,g,p,w,o,p,n,d
e,x,n,t,c,b,u,t,b,g,p,p,w,o,p,n,d
e,f,n,t,c,b,p,t,b,g,w,p,w,o,p,n,d
e,x,e,t,c,b,w,t,b,g,p,p,w,o,p,k,d
e,f,n,t,c,b,p,t,b,g,g,p,w,o,p,k,d
e,f,n,t,c,b,p,t,b,w,g,p,w,o,p,k,d
e,f,g,t,c,b,p,t,b,w,p,p,w,o,p,k,d
e,x,e,t,c,b,n,t,b,p,w,p,w,o,p,k,d
e,x,g,t,c,b,w,t,b,g,p,p,w,o,p,k,d
e,x,g,t,c,b,u,t,b,g,w,p,w,o,p,n,d
e,x,n,t,c,b,u,t,b,p,w,p,w,o,p,k,d
e,x,g,t,c,b,w,t,b,w,g,p,w,o,p,k,d
e,x,g,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,e,t,c,b,u,t,b,p,g,p,w,o,p,k,d
e,f,g,t,c,b,p,t,b,p,g,p,w,o,p,k,d
e,x,e,t,c,b,n,t,b,g,w,p,w,o,p,n,d
e,f,g,t,c,b,n,t,b,g,p,p,w,o,p,k,d
e,x,g,t,c,b,u,t,b,w,p,p,w,o,p,k,d
e,x,g,t,c,b,n,t,b,p,p,p,w,o,p,n,d
e,f,g,t,c,b,p,t,b,w,p,p,w,o,p,n,d
e,x,w,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,n,t,c,b,w,t,b,g,w,p,w,o,p,n,d
e,f,n,t,c,b,w,t,b,p,p,p,w,o,p,k,d
e,f,g,t,c,b,p,t,b,g,g,p,w,o,p,k,d
e,x,g,t,c,b,w,t,b,w,w,p,w,o,p,k,d
e,x,e,t,c,b,u,t,b,w,w,p,w,o,p,n,d
e,x,e,t,c,b,u,t,b,g,p,p,w,o,p,k,d
e,x,n,t,c,b,w,t,b,g,p,p,w,o,p,k,d
e,f,g,t,c,b,w,t,b,w,w,p,w,o,p,k,d
e,x,g,t,c,b,w,t,b,p,p,p,w,o,p,n,d
p,x,p,f,w,n,g,e,b,w,w,p,w,o,p,n,d
e,x,n,t,c,b,p,t,b,g,p,p,w,o,p,n,d
e,f,g,t,c,b,n,t,b,p,w,p,w,o,p,k,d
e,x,e,t,c,b,p,t,b,w,p,p,w,o,p,k,d
e,f,n,t,c,b,p,t,b,p,w,p,w,o,p,n,d
e,x,n,t,c,b,w,t,b,w,g,p,w,o,p,n,d
e,x,g,t,c,b,w,t,b,g,w,p,w,o,p,n,d
e,f,n,t,c,b,p,t,b,g,w,p,w,o,p,n,d
e,x,n,t,c,b,n,t,b,p,w,p,w,o,p,k,d
e,x,n,t,c,b,w,t,b,p,w,p,w,o,p,k,d
e,x,e,t,c,b,w,t,b,p,w,p,w,o,p,n,d
e,f,g,t,c,b,p,t,b,w,p,p,w,o,p,k,d
e,x,e,t,c,b,n,t,b,w,w,p,w,o,p,n,d
e,x,e,t,c,b,u,t,b,g,g,p,w,o,p,n,d
e,f,n,t,c,b,w,t,b,p,g,p,w,o,p,n,d
e,x,e,t,c,b,p,t,b,w,p,p,w,o,p,k,d
e,x,e,t,c,b,n,t,b,p,p,p,w,o,p,n,d
e,x,w,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,g,t,c,b,p,t,b,g,g,p,w,o,p,k,d
e,x,e,t,c,b,p,t,b,g,w,p,w,o,p,k,d
e,x,g,t,c,b,p,t,b,p,w,p,w,o,p,n,d
e,x,e,t,c,b,w,t,b,w,p,p,w,o,p,k,d
e,x,g,t,c,b,p,t,b,w,w,p,w,o,p,n,d
e,f,e,t,c,b,p,t,b,w,g,p,w,o,p,n,d
e,f,g,t,c,b,p,t,b,p,g,p,w,o,p,k,d
e,x,e,t,c,b,p,t,b,p,w,p,w,o,p,k,d
e,x,g,t,c,b,p,t,b,w,g,p,w,o,p,n,d
e,f,g,f,w,b,h,t,e,w,w,p,w,o,e,k,g
p,x,g,f,c,b,g,e,b,b,p,p,w,o,l,h,p
e,x,e,t,c,b,p,t,b,g,w,p,w,o,p,k,d
